SpecCode,SpecCommon,PlotName,DBH,HtTot,bio_wood,bio_bark,bio_foliage,bio_branches
32,Red Maple,1253146PIP,3.2,4.7,1.069,NotAv,NotAv,NotAv
32,Red Maple,SR1021PSP,28.5,18.9,258.9,NotAv,NotAv,NotAv
32,Red Maple,CE0060PSP,46.2,20.21,727.3,NotAv,NotAv,NotAv
32,Red Maple,SR1216PSP,27.1,21.7,259.2,NotAv,NotAv,NotAv
32,Red Maple,FCDOM200347PGP,13.6,14.63,47.46,NotAv,NotAv,NotAv
32,Red Maple,CHA1999004PSP,17.4,16.68,86.43,NotAv,NotAv,NotAv
32,Red Maple,SR0402PSP,32.2,26.5,427.5,NotAv,NotAv,NotAv
32,Red Maple,SR0208PSP,10.5,14.5,27.85,NotAv,NotAv,NotAv
32,Red Maple,SR1022PSP,17.6,17.9,93.26,NotAv,NotAv,NotAv
32,Red Maple,CE2001PSP,7.6,9,10.1,NotAv,NotAv,NotAv
32,Red Maple,SR2231PSP,44.1,24.5,764.2,NotAv,NotAv,NotAv
32,Red Maple,CE3009PSP,3.6,6.96,1.822,NotAv,NotAv,NotAv
32,Red Maple,TBP1992024PSP,3.4,6.46,1.534,NotAv,NotAv,NotAv
32,Red Maple,CE1024PSP,14.1,13.65,48.5,NotAv,NotAv,NotAv
32,Red Maple,CE3035PSP,4.7,6.5,2.978,NotAv,NotAv,NotAv
32,Red Maple,1321801PIP,15.4,12.3,53.67,NotAv,NotAv,NotAv
33,Silver Maple,SR0201PSP,4.2,8.22,3.306,0.4849,1.427,0.3572
33,Silver Maple,SR0204PSP,21.4,21,152.1,15.15,5.783,33.24
33,Silver Maple,SR2231PSP,26.7,20.3,213.9,22.3,9.925,80.32
33,Silver Maple,SR0008PSP,19.2,16.8,98.61,11.11,7.465,32.04
33,Silver Maple,SR0204PSP,3.7,5.71,1.777,0.3206,2.408,0.4059
33,Silver Maple,SR5014PSP,16.3,17.3,76.96,8.364,4.959,16.56
